player_id,full_name,position,legend_score,source_tier,is_manually_curated,curation_tier,justification
00-0032104,Ameer Abdullah,RB,38.65,2,False,,Algorithmic scoring
00-0000007,Rabih Abdullah,RB,18.41,2,False,,Algorithmic scoring
00-0034457,Josh Adams,RB,26.79,2,False,,Algorithmic scoring
00-0024245,Joseph Addai,RB,64.64,2,False,,Algorithmic scoring
00-0036020,Salvon Ahmed,RB,21.28,2,False,,Algorithmic scoring
00-0031590,Jay Ajayi,RB,49.32,2,False,,Algorithmic scoring
00-0036414,Cam Akers,RB,39.25,2,False,,Algorithmic scoring
00-0019647,Shaun Alexander,RB,60.17,2,False,,Algorithmic scoring
00-0000210,James Allen,RB,34.66,2,False,,Algorithmic scoring
00-0031577,Javorius Allen,RB,38.41,2,False,,Algorithmic scoring
00-0000232,Terry Allen,RB,35.96,2,False,,Algorithmic scoring
00-0037263,Tyler Allgeier,RB,31.99,2,False,,Algorithmic scoring
00-0000251,Mike Alstott,RB,59.16,2,False,,Algorithmic scoring
00-0029854,C.J. Anderson,RB,46.13,2,False,,Algorithmic scoring
00-0021048,Damien Anderson,RB,8.18,2,False,,Algorithmic scoring
00-0000316,Jamal Anderson,RB,35.56,2,False,,Algorithmic scoring
00-0019594,Mike Anderson,RB,54.04,2,False,,Algorithmic scoring
00-0000339,Richie Anderson,RB,37.11,2,False,,Algorithmic scoring
00-0030789,Antonio Andrews,RB,16.62,2,False,,Algorithmic scoring
00-0033296,Alex Armah,RB,22.61,2,False,,Algorithmic scoring
00-0035268,Ryquell Armstead,RB,16.94,2,False,,Algorithmic scoring
00-0023479,J.J. Arrington,RB,30.8,2,False,,Algorithmic scoring
00-0031599,Cameron Artis-Payne,RB,22.14,2,False,,Algorithmic scoring
00-0028198,Matt Asiata,RB,33.33,2,False,,Algorithmic scoring
00-0022003,B.J. Askew,RB,22.98,2,False,,Algorithmic scoring
00-0000552,Obafemi Ayanbadejo,RB,34.43,2,False,,Algorithmic scoring
00-0026432,Lance Ball,RB,25.32,2,False,,Algorithmic scoring
00-0030522,Montee Ball,RB,24.0,2,False,,Algorithmic scoring
00-0034799,Kalen Ballage,RB,32.93,2,False,,Algorithmic scoring
00-0029547,Vick Ballard,RB,23.17,2,False,,Algorithmic scoring
00-0000745,Tiki Barber,RB,58.97,2,False,,Algorithmic scoring
00-0032741,Peyton Barber,RB,38.49,2,False,,Algorithmic scoring
00-0023544,Marion Barber,RB,54.83,2,False,,Algorithmic scoring
00-0034844,Saquon Barkley,RB,79.42,2,False,,Algorithmic scoring
00-0020474,Kevan Barlow,RB,52.35,2,False,,Algorithmic scoring
00-0030465,Kenjon Barner,RB,18.97,2,False,,Algorithmic scoring
00-0000871,Mario Bates,RB,30.23,2,False,,Algorithmic scoring
