player_id,full_name,primary_pos,college,birth_date,first_year,last_year,career_seasons,total_career_games,career_passing_yards,career_rushing_yards,career_receiving_yards,career_passing_tds,career_rushing_tds,career_receiving_tds,career_tds,playoff_games,playoff_passing_yards,playoff_rushing_yards,playoff_receiving_yards,playoff_passing_tds,playoff_rushing_tds,playoff_receiving_tds,playoff_tds,def_solo_tackles,def_sacks,def_ints,draft_pick,pro_bowls,all_pros,hof_flag,height_in,weight_lb,forty_time,bench_press,vertical_jump,broad_jump,three_cone,twenty_shuttle
HOF-1963-001,Jim Thorpe,HB,Carlisle Indian Industrial School,1887-05-28,1915,1928,6,84,0,1200,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,70.0,185.0,,,,,,
HOF-1963-002,Red Grange,HB,Illinois,1903-06-13,1925,1934,7,98,0,2570,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,70.0,175.0,,,,,,
HOF-1963-003,Bronko Nagurski,FB,Minnesota,1908-11-03,1930,1943,9,97,0,4031,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,225.0,,,,,,
HOF-1963-004,Sammy Baugh,QB,TCU,1914-03-17,1937,1952,16,165,21886,324,0,187,0,0,187,0,0,0,0,0,0,0,0,0,0.0,31,999,0,0,True,74.0,180.0,,,,,,
HOF-1963-005,Don Hutson,WR,Alabama,1913-01-31,1935,1945,11,116,0,0,7991,0,0,99,99,0,0,0,0,0,0,0,0,0,0.0,23,999,0,0,True,73.0,183.0,,,,,,
HOF-1963-006,Mel Hein,C,Washington State,1909-08-22,1931,1945,15,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,225.0,,,,,,
HOF-1965-007,Sid Luckman,QB,Columbia,1916-11-21,1939,1950,12,128,14686,179,0,137,0,0,137,0,0,0,0,0,0,0,0,0,0.0,17,999,0,0,True,72.0,195.0,,,,,,
HOF-1965-008,Otto Graham,QB,Northwestern,1921-12-06,1946,1955,10,126,23584,882,0,174,0,0,174,0,0,0,0,0,0,0,0,0,0.0,25,999,0,0,True,73.0,196.0,,,,,,
HOF-1967-009,Bobby Layne,QB,Texas,1926-12-19,1948,1962,15,175,26768,372,0,196,0,0,196,0,0,0,0,0,0,0,0,0,0.0,28,999,0,0,True,73.0,190.0,,,,,,
HOF-1967-010,Chuck Bednarik,C,Pennsylvania,1925-05-01,1949,1962,14,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21,999,0,0,True,75.0,233.0,,,,,,
HOF-1971-011,Jim Brown,FB,Syracuse,1936-02-17,1957,1965,9,118,0,12312,262,0,106,20,126,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,232.0,,,,,,
HOF-1986-012,Paul Hornung,HB,Notre Dame,1935-12-23,1957,1966,9,104,0,3711,1480,0,50,12,62,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,215.0,,,,,,
HOF-1963-013,Johnny Unitas,QB,Louisville,1933-05-07,1956,1973,18,211,40239,1777,0,290,0,0,290,0,0,0,0,0,0,0,0,0,0.0,39,999,0,0,True,73.0,194.0,,,,,,
HOF-1977-014,Gale Sayers,RB,Kansas,1943-05-30,1965,1971,7,68,0,4956,112,0,22,17,39,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,200.0,,,,,,
HOF-1979-015,Dick Butkus,LB,Illinois,1942-12-09,1965,1973,9,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22,999,0,0,True,75.0,245.0,,,,,,
HOF-1985-016,Joe Namath,QB,Alabama,1943-05-31,1965,1977,13,140,27663,140,0,173,0,0,173,0,0,0,0,0,0,0,0,0,0.0,47,999,0,0,True,74.0,200.0,,,,,,
HOF-1985-017,Roger Staubach,QB,Navy,1942-02-05,1969,1979,11,131,22700,410,0,153,0,0,153,0,0,0,0,0,0,0,0,0,0.0,30,999,0,0,True,75.0,197.0,,,,,,
HOF-1974-018,Roosevelt Brown,T,Morgan State,1932-10-20,1953,1965,13,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,76.0,255.0,,,,,,
HOF-1973-019,Marion Motley,FB,Nevada,1920-06-05,1946,1953,8,128,0,4720,85,0,29,2,31,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,73.0,238.0,,,,,,
HOF-1965-020,Steve Van Buren,HB,LSU,1920-12-28,1944,1951,8,83,0,5860,523,0,69,8,77,0,0,0,0,0,0,0,0,0,0.0,9,999,0,0,True,72.0,200.0,,,,,,
HOF-1963-021,Ernie Nevers,FB,Stanford,1902-06-11,1926,1931,6,54,0,2847,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,205.0,,,,,,
HOF-1963-022,Dutch Clark,HB,Colorado College,1906-10-11,1931,1938,7,54,0,2757,0,0,42,0,42,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,71.0,185.0,,,,,,
HOF-1968-023,Elroy Hirsch,WR,Wisconsin,1923-06-17,1946,1957,12,130,0,387,7029,0,0,60,60,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,190.0,,,,,,
HOF-1975-024,Roosevelt Grier,DT,Penn State,1932-07-14,1955,1966,12,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,77.0,284.0,,,,,,
HOF-1964-025,Y.A. Tittle,QB,LSU,1926-10-24,1948,1964,17,164,28339,39,0,212,0,0,212,0,0,0,0,0,0,0,0,0,0.0,35,999,0,0,True,72.0,192.0,,,,,,
HOF-1968-026,Norm Van Brocklin,QB,Oregon,1926-03-15,1949,1960,12,140,23611,16,0,173,0,0,173,0,0,0,0,0,0,0,0,0,0.0,19,999,0,0,True,73.0,190.0,,,,,,
HOF-1970-027,Tom Fears,WR,Santa Clara,1922-12-03,1948,1956,9,101,0,0,5397,0,0,38,38,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,71.0,215.0,,,,,,
HOF-1963-028,George Halas,E,Illinois,1895-02-02,1920,1929,10,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,182.0,,,,,,
HOF-1976-029,Len Ford,DE,Michigan,1926-02-18,1948,1958,11,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20,999,0,0,True,76.0,260.0,,,,,,
HOF-1974-030,Night Train Lane,CB,Scottsbluff Junior College,1928-04-16,1952,1965,14,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68,999,0,0,True,74.0,210.0,,,,,,
HOF-1963-031,Cal Hubbard,T,Centenary,1900-10-31,1927,1936,9,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,78.0,253.0,,,,,,
HOF-1975-032,Dante Lavelli,WR,Ohio State,1923-02-23,1946,1956,11,104,0,0,6488,0,0,62,62,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,73.0,199.0,,,,,,
HOF-1963-033,Tuffy Leemans,HB,George Washington,1912-11-12,1936,1943,8,78,0,3132,422,0,15,2,17,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,200.0,,,,,,
HOF-1968-034,Wayne Millner,WR,Notre Dame,1913-01-31,1936,1941,6,63,0,0,1578,0,0,12,12,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,191.0,,,,,,
HOF-1963-035,Pete Henry,T,Washington & Jefferson,1897-10-31,1920,1928,8,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,250.0,,,,,,
HOF-1963-036,Link Lyman,T,Nebraska,1898-11-30,1922,1934,11,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,252.0,,,,,,
HOF-1966-037,Dan Fortmann,G,Colgate,1916-04-11,1936,1943,8,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,210.0,,,,,,
HOF-1963-038,Ed Healey,T,Dartmouth,1894-12-28,1920,1927,8,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,73.0,220.0,,,,,,
HOF-1972-039,Ollie Matson,HB,San Francisco,1930-05-01,1952,1966,14,143,0,5173,222,0,35,5,40,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,220.0,,,,,,
HOF-1963-040,Ray Flaherty,E,Gonzaga,1903-09-01,1926,1935,9,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,190.0,,,,,,
HOF-1974-041,Tony Canadeo,HB,Gonzaga,1919-05-05,1941,1952,11,116,0,4197,579,0,26,5,31,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,71.0,195.0,,,,,,
HOF-1976-042,Ray Nitschke,LB,Illinois,1936-12-29,1958,1972,15,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25,999,0,0,True,75.0,235.0,,,,,,
HOF-1983-043,Sonny Jurgensen,QB,Duke,1934-08-23,1957,1974,18,218,32224,493,0,255,0,0,255,0,0,0,0,0,0,0,0,0,0.0,37,999,0,0,True,72.0,203.0,,,,,,
HOF-1987-044,Don Maynard,WR,Texas Western,1935-01-25,1958,1973,15,181,0,0,11834,0,0,88,88,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,73.0,185.0,,,,,,
HOF-1963-045,Mike Michalske,G,Penn State,1903-04-24,1926,1937,11,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,210.0,,,,,,
HOF-1966-046,Joe Guyon,HB,Carlisle,1892-11-26,1919,1927,8,112,0,2200,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,71.0,180.0,,,,,,
HOF-1963-047,George Trafton,C,Notre Dame,1896-12-06,1920,1932,12,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,235.0,,,,,,
HOF-1980-048,Herb Adderley,CB,Michigan State,1939-06-08,1961,1972,12,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,999,0,0,True,73.0,200.0,,,,,,
HOF-1974-049,Bill George,LB,Wake Forest,1929-10-27,1952,1966,15,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18,999,0,0,True,74.0,230.0,,,,,,
HOF-1977-050,Frank Gatski,C,Marshall,1922-03-18,1946,1957,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,75.0,240.0,,,,,,
HOF-1981-051,Willie Davis,DE,Grambling,1934-07-24,1958,1969,12,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,75.0,245.0,,,,,,
HOF-1971-052,Andy Robustelli,DE,Arnold,1925-12-06,1951,1964,14,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22,999,0,0,True,72.0,230.0,,,,,,
HOF-1988-053,Alan Page,DT,Notre Dame,1945-08-07,1967,1981,15,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,999,0,0,True,76.0,245.0,,,,,,
HOF-1967-054,Emlen Tunnell,S,Toledo,1925-03-29,1948,1961,14,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79,999,0,0,True,73.0,200.0,,,,,,
HOF-1967-055,Paul Krause,S,Iowa,1942-02-19,1964,1979,16,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,81,999,0,0,True,75.0,190.0,,,,,,
HOF-1991-056,Jan Stenerud,K,Montana State,1942-11-26,1967,1985,19,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,187.0,,,,,,
