player_id,full_name,primary_pos,college,birth_date,first_year,last_year,career_seasons,total_career_games,career_passing_yards,career_rushing_yards,career_receiving_yards,career_tds,playoff_games,playoff_passing_yards,playoff_rushing_yards,playoff_receiving_yards,playoff_tds,def_solo_tackles,def_sacks,def_ints,draft_pick,pro_bowls,all_pros,hof_flag,height_in,weight_lb,forty_time,bench_press,vertical_jump,broad_jump,three_cone,twenty_shuttle,playoff_performance_bonus
HOF-1963-001,Jim Thorpe,HB,Carlisle Indian Industrial School,1887-05-28,1915,1928,6,84,0,1200,0,12,0,0,0,0,0,0,0.0,0,999,0,0,True,70.0,185.0,,,,,,,0.0
HOF-1963-002,Red Grange,HB,Illinois,1903-06-13,1925,1934,7,98,0,2570,0,32,0,0,0,0,0,0,0.0,0,999,0,0,True,70.0,175.0,,,,,,,0.0
HOF-1963-003,Bronko Nagurski,FB,Minnesota,1908-11-03,1930,1943,9,97,0,4031,0,25,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,225.0,,,,,,,0.0
HOF-1963-004,Sammy Baugh,QB,TCU,1914-03-17,1937,1952,16,165,21886,324,0,187,0,0,0,0,0,0,0.0,31,999,0,0,True,74.0,180.0,,,,,,,0.0
HOF-1963-005,Don Hutson,WR,Alabama,1913-01-31,1935,1945,11,116,0,0,7991,99,0,0,0,0,0,0,0.0,23,999,0,0,True,73.0,183.0,,,,,,,0.0
HOF-1963-006,Mel Hein,C,Washington State,1909-08-22,1931,1945,15,170,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,225.0,,,,,,,0.0
HOF-1965-007,Sid Luckman,QB,Columbia,1916-11-21,1939,1950,12,128,14686,179,0,137,0,0,0,0,0,0,0.0,17,999,0,0,True,72.0,195.0,,,,,,,0.0
HOF-1965-008,Otto Graham,QB,Northwestern,1921-12-06,1946,1955,10,126,23584,882,0,174,0,0,0,0,0,0,0.0,25,999,0,0,True,73.0,196.0,,,,,,,0.0
HOF-1967-009,Bobby Layne,QB,Texas,1926-12-19,1948,1962,15,175,26768,372,0,196,0,0,0,0,0,0,0.0,28,999,0,0,True,73.0,190.0,,,,,,,0.0
HOF-1967-010,Chuck Bednarik,C,Pennsylvania,1925-05-01,1949,1962,14,169,0,0,0,0,0,0,0,0,0,0,0.0,21,999,0,0,True,75.0,233.0,,,,,,,0.0
HOF-1971-011,Jim Brown,FB,Syracuse,1936-02-17,1957,1965,9,118,0,12312,262,126,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,232.0,,,,,,,0.0
HOF-1986-012,Paul Hornung,HB,Notre Dame,1935-12-23,1957,1966,9,104,0,3711,1480,62,0,0,0,0,0,0,0.0,0,999,0,0,True,74.0,215.0,,,,,,,0.0
HOF-1963-013,Johnny Unitas,QB,Louisville,1933-05-07,1956,1973,18,211,40239,1777,0,290,0,0,0,0,0,0,0.0,39,999,0,0,True,73.0,194.0,,,,,,,0.0
HOF-1977-014,Gale Sayers,RB,Kansas,1943-05-30,1965,1971,7,68,0,4956,112,39,0,0,0,0,0,0,0.0,0,999,0,0,True,72.0,200.0,,,,,,,0.0
HOF-1979-015,Dick Butkus,LB,Illinois,1942-12-09,1965,1973,9,119,0,0,0,0,0,0,0,0,0,0,0.0,22,999,0,0,True,75.0,245.0,,,,,,,0.0
HOF-1985-016,Joe Namath,QB,Alabama,1943-05-31,1965,1977,13,140,27663,140,0,173,0,0,0,0,0,0,0.0,47,999,0,0,True,74.0,200.0,,,,,,,0.0
HOF-1985-017,Roger Staubach,QB,Navy,1942-02-05,1969,1979,11,131,22700,410,0,153,0,0,0,0,0,0,0.0,30,999,0,0,True,75.0,197.0,,,,,,,0.0
HOF-1974-018,Roosevelt Brown,T,Morgan State,1932-10-20,1953,1965,13,162,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,True,76.0,255.0,,,,,,,0.0
