player_id,full_name,primary_pos,college,birth_date,first_year,last_year,career_seasons,total_career_games,career_passing_yards,career_rushing_yards,career_receiving_yards,career_tds,playoff_games,playoff_passing_yards,playoff_rushing_yards,playoff_receiving_yards,playoff_tds,def_solo_tackles,def_sacks,def_ints,draft_pick,pro_bowls,all_pros,hof_flag,height_in,weight_lb,forty_time,bench_press,vertical_jump,broad_jump,three_cone,twenty_shuttle,playoff_performance_bonus
00-0038389,Israel Abanikanda,RB,Pittsburgh,2002-10-05,2023,2025,1,6,0,70,43,0,0,0,0,0,0,0,0.0,0,143,0,0,False,70.0,216.0,,,,,,,0.0
00-0031021,Jared Abbrederis,WR,Wisconsin,1990-12-17,2014,2017,3,9,0,0,163,0,2,0,0,69,0,1,0.0,0,176,0,0,False,73.0,195.0,4.5,4.0,30.5,117.0,6.8,4.08,5.0
00-0028564,Isa Abdul-Quddus,S,Fordham,1989-08-03,2011,2016,2,3,0,34,3,0,0,0,0,0,0,0,0.0,0,999,0,0,False,73.0,196.0,,,,,,,0.0
00-0032104,Ameer Abdullah,RB,Nebraska,1993-06-13,2015,2025,9,97,0,1683,1207,14,2,0,9,7,0,25,0.0,0,54,0,0,False,69.0,203.0,4.6,24.0,42.5,130.0,6.79,3.95,5.0
00-0000007,Rabih Abdullah,RB,Lehigh University,1975-04-27,1998,2004,5,28,0,172,115,1,0,0,0,0,0,0,0.0,0,999,0,0,False,72.0,235.0,,,,,,,0.0
00-0000017,Donnie Abraham,CB,East Tennessee State,1973-10-08,1996,2004,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,70.0,192.0,,,,,,,0.0
00-0039040,De'Von Achane,RB,Texas A&M,2001-10-13,2023,2025,1,11,0,800,197,11,1,0,9,21,0,0,0.0,0,84,0,0,False,69.0,191.0,4.32,,33.0,,,,5.0
00-0029271,Joe Adams,WR,Arkansas,1989-11-22,2012,2012,1,3,0,13,7,0,0,0,0,0,0,0,0.0,0,104,0,0,False,71.0,190.0,4.51,,36.0,123.0,7.09,,0.0
00-0021006,Charlie Adams,WR,Hofstra,1979-10-23,2003,2006,1,12,0,14,203,0,1,0,0,18,0,0,0.0,0,999,0,0,False,74.0,190.0,,,,,,,5.0
00-0031381,Davante Adams,WR,Fresno State,1992-12-24,2014,2025,10,148,0,-1,10793,95,11,0,0,910,8,2,0.0,0,53,6,3,False,73.0,215.0,4.56,14.0,39.5,123.0,6.82,4.3,16.5
00-0033872,Jamal Adams,LB,LSU,1995-10-17,2017,2025,0,0,0,0,0,0,0,0,0,0,0,366,21.5,4,6,3,1,False,73.0,213.0,4.56,18.0,31.5,120.0,6.96,4.13,0.0
00-0032429,Jerell Adams,TE,South Carolina,1992-12-31,2016,2020,2,15,0,0,214,1,0,0,0,0,0,3,0.0,0,184,0,0,False,77.0,254.0,4.64,,32.5,117.0,7.05,4.31,0.0
00-0034457,Josh Adams,RB,Notre Dame,1996-10-29,2018,2021,3,20,0,680,87,5,1,0,2,0,0,0,0.0,0,999,0,0,False,74.0,225.0,,18.0,,,,,5.0
00-0028338,Kris Adams,WR,Texas-El Paso,1987-09-04,2011,2013,1,3,0,0,26,0,0,0,0,0,0,0,0.0,0,999,0,0,False,75.0,194.0,,,,,,,0.0
00-0028337,Kyle Adams,TE,Purdue,1988-01-19,2011,2013,1,6,0,0,40,0,0,0,0,0,0,0,0.0,0,999,0,0,False,76.0,255.0,,,,,,,0.0
00-0025668,Michael Adams,DB,Louisiana-Lafayette,1985-06-17,2007,2013,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,999,0,0,False,68.0,181.0,,,,,,,0.0
