player_id,full_name,position,legend_score,source_tier
00-0032104,Ameer Abdullah,RB,13.18,2
00-0000007,Rabih Abdullah,RB,21.4,2
00-0034457,Josh Adams,RB,21.4,2
00-0024245,Joseph Addai,RB,47.08,2
00-0036020,Salvon Ahmed,RB,6.4,2
00-0031590,Jay Ajayi,RB,40.06,2
00-0036414,Cam Akers,RB,22.07,2
00-0019647,Shaun Alexander,RB,22.16,2
00-0000210,James Allen,RB,15.15,2
00-0031577,Javorius Allen,RB,19.38,2
00-0000232,Terry Allen,RB,16.71,2
00-0037263,Tyler Allgeier,RB,16.09,2
00-0000251,Mike Alstott,RB,31.59,2
00-0029854,C.J. Anderson,RB,10.72,2
00-0021048,Damien Anderson,RB,8.99,2
00-0000316,Jamal Anderson,RB,23.15,2
00-0019594,Mike Anderson,RB,23.5,2
00-0000339,Richie Anderson,RB,22.91,2
00-0030789,Antonio Andrews,RB,8.04,2
00-0033296,Alex Armah,RB,27.93,2
00-0035268,Ryquell Armstead,RB,21.1,2
00-0023479,J.J. Arrington,RB,22.59,2
00-0031599,Cameron Artis-Payne,RB,15.09,2
00-0028198,Matt Asiata,RB,8.97,2
00-0022003,B.J. Askew,RB,22.85,2
00-0000552,Obafemi Ayanbadejo,RB,22.36,2
00-0026432,Lance Ball,RB,14.7,2
00-0030522,Montee Ball,RB,13.88,2
00-0034799,Kalen Ballage,RB,26.27,2
00-0029547,Vick Ballard,RB,15.01,2
00-0000745,Tiki Barber,RB,20.72,2
00-0032741,Peyton Barber,RB,11.16,2
00-0023544,Marion Barber,RB,20.21,2
00-0034844,Saquon Barkley,RB,78.82,2
00-0020474,Kevan Barlow,RB,23.69,2
00-0030465,Kenjon Barner,RB,11.83,2
00-0000871,Mario Bates,RB,30.96,2
00-0025701,Jackie Battle,RB,23.62,2
00-0000942,Fred Beasley,RB,25.71,2
00-0034959,Andrew Beck,RB,25.48,2
00-0027218,Joique Bell,RB,11.19,2
00-0026579,Kahlil Bell,RB,8.05,2
00-0030496,Le'Veon Bell,RB,73.06,2
00-0024011,Mike Bell,RB,13.49,2
00-0022893,Tatum Bell,RB,25.22,2
00-0036383,Eno Benjamin,RB,10.3,2
00-0001098,Brandon Bennett,RB,17.31,2
00-0001102,Donnell Bennett,RB,29.46,2
00-0020514,Michael Bennett,RB,22.29,2
00-0023439,Cedric Benson,RB,21.12,2
00-0030456,Giovani Bernard,RB,16.96,2
00-0027880,Jahvid Best,RB,22.66,2
00-0001215,Jerome Bettis,RB,30.93,2
00-0021184,Ladell Betts,RB,18.36,2
00-0001224,Tim Biakabutuka,RB,25.83,2
00-0031102,Kapri Bibbs,RB,4.56,2
00-0037429,Raheem Blackshear,RB,11.5,2
00-0035099,Khari Blasingame,RB,21.15,2
00-0020315,Derrick Blaylock,RB,19.51,2
00-0027325,LeGarrette Blount,RB,13.97,2
00-0031075,Alfred Blue,RB,17.33,2
00-0030112,Tommy Bohanon,RB,16.21,2
00-0029239,Brandon Bolden,RB,13.16,2
00-0032972,Devontae Booker,RB,16.66,2
00-0025458,Lorenzo Booker,RB,18.29,2
00-0034208,Mike Boone,RB,13.5,2
00-0025637,Ahmad Bradshaw,RB,13.68,2
00-0033308,Matt Breida,RB,11.96,2
00-0027129,Aaron Brown,RB,18.85,2
00-0027094,Andre Brown,RB,26.72,2
00-0029429,Bryce Brown,RB,20.71,2
00-0022092,Chris Brown,RB,13.29,2
00-0020376,Dee Brown,RB,17.18,2
00-0027003,Donald Brown,RB,20.91,2
00-0031806,Malcolm Brown,RB,11.66,2
00-0002027,Reggie Brown,RB,22.34,2
00-0023437,Ronnie Brown,RB,50.65,2
00-0002159,Shawn Bryson,RB,27.5,2
00-0020270,Correll Buckhalter,RB,20.69,2
00-0030288,Rex Burkhead,RB,8.99,2
00-0020917,Joe Burns,RB,5.17,2
00-0031595,Michael Burton,RB,16.53,2
00-0025487,Michael Bush,RB,21.87,2
00-0024217,Reggie Bush,RB,25.95,2
00-0002380,Steve Bush,RB,25.76,2
00-0029205,Travaris Cadet,RB,17.04,2
00-0019649,Trung Canidate,RB,22.71,2
00-0034164,Trenton Cannon,RB,15.27,2
00-0031057,Ka'Deem Carey,RB,11.33,2
00-0033594,Chris Carson,RB,14.45,2
00-0002713,Tony Carter,RB,21.4,2
00-0028057,Delone Carter,RB,19.6,2
00-0002743,Ki-Jana Carter,RB,27.19,2
00-0036924,Michael Carter,RB,9.55,2
